ntaname_1,average,densityairbnb
Williamsbridge-Olinville,198.5425314,0.0772
East New York (Pennsylvania Ave),198.1958201,0.134
Brownsville,192.6543501,0.0734
Bronxdale,192.2196384,0.0724
Woodlawn-Wakefield,191.6326062,0.0528
Bedford Park-Fordham North,186.2124488,0.1267
Canarsie,183.4172341,0.0926
Eastchester-Edenwald-Baychester,181.7202548,0.0323
Soundview-Bruckner,181.4029765,0.0246
West Farms-Bronx River,175.398168,0.0795
Highbridge,174.1560875,0.1337
Mount Hope,174.0797252,0.1155
Rugby-Remsen Village,172.7247239,0.1743
West Concourse,171.2875963,0.2012
West New Brighton-New Brighton-St. George,169.9441371,0.0749
Norwood,167.5680385,0.1017
Soundview-Castle Hill-Clason Point-Harding Park,167.0528712,0.0327
Westchester-Unionport,165.6162523,0.0251
Hunts Point,160.550385,0.0342
East Tremont,156.6325602,0.026
East Concourse-Concourse Village,155.4214404,0.1537
Longwood,152.4367149,0.0839
Pelham Parkway,133.8418614,0.0955
Claremont-Bathgate,131.6129146,0.0486
Fordham South,131.3155726,0.1585
University Heights-Morris Heights,130.4634425,0.1223
Morrisania-Melrose,121.884716,0.1302
Crotona Park East,117.8794855,0.0429
Midtown-Midtown South,115.3793821,0.9109
park-cemetery-etc-Brooklyn,91.64713332,0.0044
Kingsbridge Heights,64.51651158,0.076
Stuyvesant Town-Cooper Village,11.15257867,0.4479
