ntaname_1,average,densityairbnb
Sunset Park East,610.1697602,0.5604
Homecrest,610.8466536,0.1767
Douglas Manor-Douglaston-Little Neck,620.1307318,0.019
Old Astoria,649.7669901,1.5558
Oakland Gardens,706.1947884,0.0216
Manhattanville,708.3052643,3.2967
Carroll Gardens-Columbia Street-Red Hook,739.6162861,1.0179
Central Harlem South,773.6126123,5.5058
Queensbridge-Ravenswood-Long Island City,789.6889199,0.7763
Lower East Side,819.5021347,3.8502
Windsor Terrace,835.4025659,1.4386
Greenpoint,855.2194714,2.9714
Clinton Hill,884.2172313,4.4232
East Williamsburg,890.2126763,3.1687
Gramercy,953.3248974,6.4568
East Harlem South,964.8732146,3.0389
Clinton,978.0894666,9.683
East Village,1009.197249,13.0802
Battery Park City-Lower Manhattan,1037.753775,3.9626
Turtle Bay-East Midtown,1173.281722,5.5251
Flushing,1188.376392,0.4437
Morningside Heights,1220.937773,3.5722
Park Slope-Gowanus,1226.936102,2.3454
Chinatown,1253.572665,6.3992
Prospect Heights,1296.044258,4.4377
North Side-South Side,1357.183061,8.1954
Lenox Hill-Roosevelt Island,1365.671265,3.7905
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1464.831488,1.6258
Forest Hills,1494.389361,0.2922
Fort Greene,1503.89328,2.8272
Upper West Side,1619.553712,3.5748
Murray Hill-Kips Bay,1680.050929,6.2406
Brooklyn Heights-Cobble Hill,1797.467562,1.6828
Yorkville,2208.719,5.8079
Parkchester,2356.92051,0.2069
Hudson Yards-Chelsea-Flatiron-Union Square,3157.012206,3.9983
Upper East Side-Carnegie Hill,4457.351182,1.6695
West Village,4632.810874,5.2702
SoHo-TriBeCa-Civic Center-Little Italy,5107.430777,4.554
Lincoln Square,14477.67675,3.1698
